Title,Price,Date
"realme 12 Pro 5G (Navigator Beige, 128 GB) (8 GB RAM)",24999,2024-04-22 21:38:26.986345
"realme 12 Pro 5G (Navigator Beige, 128 GB) (8 GB RAM)",24999,2024-04-22 21:41:46.233067
"realme 12 Pro 5G (Navigator Beige, 128 GB) (8 GB RAM)",24999,2024-04-22 21:43:55.785402
"realme 12 Pro 5G (Navigator Beige, 128 GB) (8 GB RAM)",24999,2024-04-22 22:15:04.454604
"realme 12 Pro 5G (Navigator Beige, 128 GB) (8 GB RAM)",24999,2024-04-22 23:04:23.268920
"realme 12 Pro 5G (Navigator Beige, 128 GB) (8 GB RAM)",24999,2024-04-22 23:05:39.873587
"realme 12 Pro 5G (Navigator Beige, 128 GB) (8 GB RAM)",24999,2024-04-22 23:06:05.079892
"SanDisk Cruzer Blade USB 2.0 32 GB Flash Pen Drive (Red, Black)",313,2024-04-22 23:06:13.053418
"SAMSUNG 22 inch Full HD IPS Panel Monitor (LS22C310EAWXXL) (Response Time: 5 ms, 75 Hz Refresh Rate)",6799,2024-04-22 23:06:15.673196
"realme 12 Pro 5G (Navigator Beige, 128 GB) (8 GB RAM)",24999,2024-04-23 00:00:55.431446
"SanDisk Cruzer Blade USB 2.0 32 GB Flash Pen Drive (Red, Black)",313,2024-04-23 00:01:03.304233
"SAMSUNG 22 inch Full HD IPS Panel Monitor (LS22C310EAWXXL) (Response Time: 5 ms, 75 Hz Refresh Rate)",6799,2024-04-23 00:01:05.066174
"realme 12 Pro 5G (Navigator Beige, 128 GB) (8 GB RAM)",24999,2024-04-23 11:06:29.976595
"SanDisk Cruzer Blade USB 2.0 32 GB Flash Pen Drive (Red, Black)",357,2024-04-23 11:06:38.815190
"SAMSUNG 22 inch Full HD IPS Panel Monitor (LS22C310EAWXXL) (Response Time: 5 ms, 75 Hz Refresh Rate)",6799,2024-04-23 11:06:40.680243
"realme 12 Pro 5G (Navigator Beige, 128 GB) (8 GB RAM)",24999,2024-04-23 11:11:03.360384
"SanDisk Cruzer Blade USB 2.0 32 GB Flash Pen Drive (Red, Black)",357,2024-04-23 11:11:05.402566
"SAMSUNG 22 inch Full HD IPS Panel Monitor (LS22C310EAWXXL) (Response Time: 5 ms, 75 Hz Refresh Rate)",6799,2024-04-23 11:11:13.402557
"realme 12 Pro 5G (Navigator Beige, 128 GB) (8 GB RAM)",24999,2024-04-23 11:12:10.706117
"SanDisk Cruzer Blade USB 2.0 32 GB Flash Pen Drive (Red, Black)",357,2024-04-23 11:12:12.736828
"SAMSUNG 22 inch Full HD IPS Panel Monitor (LS22C310EAWXXL) (Response Time: 5 ms, 75 Hz Refresh Rate)",6799,2024-04-23 11:12:20.046835
"realme 12 Pro 5G (Navigator Beige, 128 GB) (8 GB RAM)",24999,2024-04-23 22:44:28.553547
"SanDisk Cruzer Blade USB 2.0 32 GB Flash Pen Drive (Red, Black)",336,2024-04-23 22:44:30.390519
"SAMSUNG 22 inch Full HD IPS Panel Monitor (LS22C310EAWXXL) (Response Time: 5 ms, 75 Hz Refresh Rate)",6799,2024-04-23 22:44:38.327797
"realme 12 Pro 5G (Navigator Beige, 128 GB) (8 GB RAM)",24999,2024-04-23 23:18:19.043635
"SanDisk Cruzer Blade USB 2.0 32 GB Flash Pen Drive (Red, Black)",336,2024-04-23 23:18:21.146675
"SAMSUNG 22 inch Full HD IPS Panel Monitor (LS22C310EAWXXL) (Response Time: 5 ms, 75 Hz Refresh Rate)",6799,2024-04-23 23:18:30.894897
